iter	Passed	Remaining
842	2814	524
843	2817	520
844	2820	517
845	2823	514
846	2826	510
847	2829	507
848	2832	503
849	2835	500
850	2839	497
851	2842	493
852	2845	490
853	2848	487
854	2851	483
855	2854	480
856	2857	476
857	2860	473
858	2863	470
859	2866	466
860	2870	463
861	2872	459
862	2875	456
863	2878	453
864	2881	449
865	2885	446
866	2888	443
867	2891	439
868	2894	436
869	2898	433
870	2901	429
871	2904	426
872	2907	422
873	2910	419
874	2913	416
875	2916	412
876	2919	409
877	2922	406
878	2925	402
879	2928	399
880	2931	395
881	2934	392
882	2937	389
883	2940	385
884	2943	382
885	2946	379
886	2949	375
887	2952	372
888	2959	369
889	2962	366
890	2965	362
891	2968	359
892	2972	356
893	2975	352
894	2978	349
895	2981	346
896	2984	342
897	2988	339
898	2991	336
899	2994	332
900	2997	329
901	3000	325
902	3003	322
903	3007	319
904	3010	315
905	3013	312
906	3016	309
907	3019	305
908	3022	302
909	3025	299
910	3028	295
911	3031	292
912	3034	289
913	3037	285
914	3040	282
915	3043	279
916	3045	275
917	3048	272
918	3051	268
919	3054	265
920	3057	262
921	3060	258
922	3063	255
923	3066	252
924	3069	248
925	3072	245
926	3075	242
927	3077	238
928	3081	235
929	3084	232
930	3087	228
931	3090	225
932	3092	222
933	3095	218
934	3098	215
935	3102	212
936	3105	208
937	3108	205
938	3111	202
939	3114	198
940	3117	195
941	3120	192
942	3123	188
943	3127	185
944	3130	182
945	3133	178
946	3136	175
947	3139	172
948	3142	168
949	3145	165
950	3148	162
951	3151	158
952	3156	155
953	3159	152
954	3163	149
955	3166	145
956	3169	142
957	3172	139
958	3175	135
959	3179	132
960	3182	129
961	3185	125
962	3188	122
963	3191	119
964	3194	115
965	3197	112
966	3200	109
967	3203	105
968	3206	102
969	3209	99
970	3212	95
971	3215	92
972	3218	89
973	3221	85
974	3224	82
975	3227	79
976	3230	76
977	3233	72
978	3236	69
979	3240	66
980	3243	62
981	3246	59
982	3250	56
983	3253	52
984	3256	49
985	3259	46
986	3262	42
987	3265	39
988	3268	36
989	3271	33
990	3274	29
991	3277	26
992	3280	23
993	3283	19
994	3287	16
995	3290	13
996	3293	9
997	3296	6
998	3299	3
999	3302	0
